No.,Weight (kN),Stretch (mm),Shrink (mm),Nominal Stress (MPa),Nominal Strain
1,2,0,0,13,0
2,4,0.0043,-0.0012,26,4.3e-05
3,5.9,0.0066,-0.0018,38.3,6.6e-05
4,7.9,0.0096,-0.0025,51.3,9.6e-05
5,9.8,0.0133,-0.0035,63.7,0.000133
6,11.8,0.0163,-0.0042,76.7,0.000163
7,13.8,0.0196,-0.0049,89.6,0.000196
8,15.7,0.0226,-0.0058,102,0.000226
9,17.7,0.0256,-0.0065,115,0.000256
10,19.6,0.0291,-0.0074,127.3,0.000291
11,21.6,0.0324,-0.0082,140.3,0.000324
12,23.6,0.0351,-0.009,153.3,0.000351
13,25.5,0.0382,-0.0097,165.7,0.000382
14,27.5,0.0412,-0.0104,178.6,0.000412
15,29.4,0.0447,-0.0112,191,0.000447
16,33.4,0.0502,-0.0128,217,0.000502
17,37.3,0.0572,-0.0143,242.3,0.000572
18,41.2,0.0647,-0.0158,267.6,0.000647
19,45.1,0.0697,-0.0173,293,0.000697
20,43.8,1.5697,0,284.5,0.015697
21,50,2.0697,0,324.8,0.020697
22,52.2,2.5697,0,339.1,0.025697
23,54.5,3.0697,0,354,0.030697
24,56.5,3.5697,0,367,0.035697
25,59.6,4.5697,0,387.2,0.045697
26,62.3,5.5697,0,404.7,0.055697
27,63.8,6.5697,0,414.5,0.065697
28,65.3,7.5697,0,424.2,0.075697
29,66.2,8.5697,0,430,0.085697
30,67.1,9.5697,0,435.9,0.095697
31,67.7,10.5697,0,439.8,0.105697
32,68,11.5697,0,441.7,0.115697
33,68.1,12.5697,0,442.4,0.125697
34,68.2,13.5697,0,443,0.135697
35,68.2,14.5697,0,443,0.145697
36,68.1,15.5697,0,442.4,0.155697
37,67.7,16.5697,0,439.8,0.165697
38,67.1,17.5697,0,435.9,0.175697
39,65.9,18.5697,0,428.1,0.185697
40,63.9,19.5697,0,415.1,0.195697
41,61.2,20.5697,0,397.6,0.205697
42,57.6,21.5697,0,374.2,0.215697
43,52.8,22.5697,0,343,0.225697
